Input,Expected First,Expected Second,Found,Correct
चन्द्रोदय,चन्द्र,उदय,"[('चन्द्र', 'उदय')]",True
समुद्रोर्मि,समुद्र,ऊर्मि,"[('समुद्र', 'ऊर्मि')]",True
महोत्सव,महा,उत्सव,"[('मह', 'उत्सव'), ('महा', 'उत्सव')]",True
गंगोर्मि,गंगा,ऊर्मि,"[('गंग', 'ऊर्मि'), ('गंगा', 'ऊर्मि')]",True
देवर्षि,देव,ऋषि,"[('देव', 'ऋषि'), ('देवा', 'ऋषि')]",True
महर्षि,महा,ऋषि,"[('मह', 'ऋषि'), ('महा', 'ऋषि')]",True
एकैक,एक,एक,"[('एक', 'एक')]",True
सदैव,सदा,एव,[],False
अत्रैकमत्यम्,अत्र,एकमत्यम्,[],False
जनैकता,जन,एकता,"[('जन', 'एकता'), ('जना', 'एकता')]",True
बालैषा,बाला,एषा,[],False
तथैव,तथा,एव,[],False
गंगैषा,गंगा,एषा,[],False
मतैक्य,मत,ऐक्य,"[('मत', 'ऐक्य')]",True
महैश्वर्य,महा,ऐश्वर्य,"[('मह', 'ऐश्वर्य'), ('महा', 'ऐश्वर्य')]",True
पुत्रैषणा,पुत्र,एषणा,"[('पुत्र', 'एषणा')]",True
महौषधि,महा,औषधि,"[('मह', 'औषधि'), ('महा', 'औषधि')]",True
जगन्नाथ,जगत्,नाथ,[],False
अन्तःकरण,अन्तः,करण,[],False
मनोविकार,मनः,विकार,"[('मनः', 'विकार')]",True
मनोरथ,मनः,रथ,"[('मनः', 'रथ')]",True
युगान्तर,युग,अन्तर,"[('युग', 'अन्तर')]",True
शरणार्थी,शरण,अर्थी,"[('शरण', 'अर्थी'), ('शरण', 'आर्थी'), ('शरणार्थी', 'इ'), ('शरणार्थी', 'ई')]",True
सत्यार्थी,सत्य,अर्थी,"[('सत्य', 'अर्थी'), ('सत्य', 'आर्थी'), ('सत्या', 'अर्थी'), ('सत्या', 'आर्थी')]",True
दिवसावसान,दिवस,अवसान,[],False
प्रसंगानुकूल,प्रसंग,अनुकूल,"[('प्रसंग', 'अनुकूल')]",True
विद्यानुराग,विद्या,अनुराग,[],False
परमावश्यक,परम,आवश्यक,"[('परम', 'आवश्यक'), ('परमा', 'आवश्यक')]",True
उदयाचल,उदय,अचल,"[('उदय', 'अचल')]",True
ग्रामांचल,ग्रामा,अंचल,[],False
ध्वंसावशेष,ध्वंस,अवशेष,"[('ध्वंस', 'अवशेष')]",True
हस्तान्तरण,हस्त,अन्तरण,"[('हस्त', 'अन्तरण')]",True
परमानन्द,परम,आनन्द,"[('परम', 'अनन्द'), ('परम', 'आनन्द'), ('परमा', 'अनन्द'), ('परमा', 'आनन्द')]",True
रत्नाकर,रत्न,आकर,"[('रत्न', 'अकर'), ('रत्न', 'आकर')]",True
देवालय,देव,आलय,"[('देव', 'आलय'), ('देवा', 'आलय')]",True
धर्मात्मा,धर्म,आत्मा,"[('धर्म', 'आत्म')]",False
आग्नेयास्त्र,आग्नेय,अस्त्र,"[('आग्नेय', 'अस्त्र'), ('आग्नेय', 'आस्त्र')]",True
मर्मान्तक,मर्म,अन्तक,[],False
रामायण,राम,अयन,[],False
सुखानुभूति,सुख,अनुभूति,"[('सुख', 'अनुभूति')]",True
आज्ञानुपालन,आज्ञा,अनुपालन,[],False
देहान्त,देह,अन्त,"[('देह', 'अन्त')]",True
गीतांजलि,गीत,अंजलि,"[('गीत', 'अंजलि'), ('गीता', 'अंजलि')]",True
मात्राज्ञा,मात्र,आज्ञा,[],False
भयाकुल,भय,आकुल,"[('भय', 'अकुल'), ('भय', 'आकुल'), ('भया', 'अकुल'), ('भया', 'आकुल')]",True
त्रिपुरारि,त्रिपुर,अरि,"[('त्रिपुर', 'अरि'), ('त्रिपुर', 'आरि'), ('त्रिपुरा', 'अरि'), ('त्रिपुरा', 'आरि')]",True
आयुधागार,आयुध,आगार,"[('आयुध', 'अगर'), ('आयुध', 'आगर')]",False
स्वर्गारोहण,स्वर्ग,आरोहण,"[('स्वर्ग', 'आरोहण')]",True
प्राणायाम,प्राण,आयाम,"[('प्रणय', 'अम'), ('प्रणय', 'आम')]",False
कारागार,कारा,आगार,"[('कर', 'अगर'), ('कर', 'आगर'), ('करा', 'अगर'), ('करा', 'आगर')]",False
शाकाहारी,शाक,आहारी,"[('शक', 'अहरी'), ('शक', 'आहरी'), ('शाकाहारी', 'इ'), ('शाकाहारी', 'ई')]",False
फलाहार,फल,आहार,"[('फल', 'आहर'), ('फला', 'आहर')]",False
गदाघात,गदा,आघात,[],False
स्थानापन्न,स्थान,आपन्न,[],False
कंटकाकीर्ण,कंटक,आकीर्ण,"[('कंटक', 'आकीर्ण')]",True
स्नेहाकांक्षी,स्नेह,आकांक्षी,[],False
महामात्य,महा,अमात्य,[],False
चिकित्सालय,चिकित्सा,आलय,"[('चिकित्सा', 'आलय')]",True
नवांकुर,नव,अंकुर,"[('नव', 'अंकुर')]",True
सहानुभूति,सह,अनुभूति,"[('सह', 'अनुभूति')]",True
दीक्षान्त,दीक्षा,अन्त,"[('दीक्षा', 'अन्त')]",True
वार्तालाप,वार्ता,आलाप,[],False
पुस्तकालय,पुस्तक,आलय,"[('पुस्तक', 'आलय')]",True
विकलांग,विकल,अंग,"[('विकल', 'अंग')]",True
आनन्दातिरेक,आनन्द,अतिरेक,"[('आनन्द', 'अतिरेक')]",True
कामायनी,काम,अयनी,"[('कामायनी', 'इ'), ('कामायनी', 'ई')]",False
दीपावली,दीप,अवली,"[('दीप', 'अवली'), ('दीप', 'आवली')]",True
दावानल,दाव,अनल,"[('दवा', 'अनल')]",False
महात्मा,महा,आत्मा,"[('मह', 'आत्म'), ('महा', 'आत्म')]",False
हिमालय,हिम,आलय,"[('हिम', 'आलय'), ('हिमा', 'आलय'), ('हिमाली', 'अ')]",True
देशान्तर,देश,अन्तर,"[('देश', 'अन्तर')]",True
सावधान,स,अवधान,[],False
तीर्थाटन,तीर्थ,अटन,"[('तीर्थ', 'अटन')]",True
विचाराधीन,विचार,अधीन,[],False
मुरारि,मुर,अरि,"[('मुर', 'अरि'), ('मुर', 'आरि')]",True
कुशासन,कुश,आसन,"[('कुश', 'असन'), ('कुश', 'आसन'), ('कुशा', 'असन'), ('कुशा', 'आसन')]",True
उत्तमांग,उत्तम,अंग,"[('उत्तम', 'अंग'), ('उत्तमा', 'अंग')]",True
सावयव,स,अवयव,"[('स', 'अवयव'), ('सा', 'अवयव')]",True
भग्नावशेष,भग्न,अवशेष,"[('भग्न', 'अवशेष')]",True
धर्माधिकारी,धर्म,अधिकारी,[],False
जनार्दन,जन,अर्दन,"[('जन', 'अर्दन'), ('जना', 'अर्दन')]",True
अधिकांश,अधिक,अंश,"[('अधिक', 'अंश')]",True
गौरीश,गौरी,ई,"[('गौरी', 'ईश')]",False
लक्ष्मीश,लक्ष्मी,ईश,"[('लक्ष्मी', 'ईश')]",True
पृथ्वीश्वर,पृथ्वी,ईश्वर,"[('पृथ्वी', 'ईश्वर')]",True
अनूदित,अनु,उदित,"[('अनु', 'उदित')]",True
मंजूषा,मंजु,उषा,"[('मंजूषा', 'अ'), ('मंजूषा', 'आ'), ('मंजु', 'उषा'), ('मंजु', 'ऊषा')]",True
गुरूपदेश,गुरु,उपदेश,"[('गुरु', 'उपदेश'), ('गुरू', 'उपदेश')]",True
साधूपदेश,साधु,उपदेश,"[('साधु', 'उपदेश')]",True
बहूद्देशीय,बहु,उद्देशीय,[],False
वधूपालम्भ,वधु,उपालम्भ,"[('वधू', 'उपालम्भ')]",False
भानूदय,भानु,उदय,"[('भानु', 'उदय')]",True
मधूत्सव,मधु,उत्सव,"[('मधु', 'उत्सव')]",True
बहूर्ज,बहु,उर्ज,[],False
सिन्धूर्मि,सिन्धु,ऊर्मि,"[('सिन्धु', 'ऊर्मि'), ('सिन्धू', 'ऊर्मि')]",True
चमूत्तम,चमू,उत्तम,[],False
लघूत्तम,लघु,उत्तम,"[('लघु', 'उत्तम')]",True
रचनात्मक,रचना,आत्मक,"[('रचना', 'आत्मक')]",True
क्षितीन्द्र,क्षिति,इन्द्र,"[('क्षिति', 'इन्द्र')]",True
अधीश्वर,अधि,ईश्वर,"[('अधि', 'ईश्वर')]",True
प्रतीक्षा,प्रति,ईक्षा,"[('प्रतीक्षा', 'अ'), ('प्रतीक्षा', 'आ'), ('प्रति', 'ईक्षा')]",True
परीक्षा,परि,ईक्षा,"[('परीक्षा', 'अ'), ('परीक्षा', 'आ'), ('परी', 'ईक्षा')]",False
गिरीन्द्र,गिरि,इन्द्र,"[('गिरि', 'इन्द्र'), ('गिरी', 'इन्द्र')]",True
मुनीन्द्र,मुनि,इन्द्र,"[('मुनि', 'इन्द्र')]",True
अधीक्षक,अधि,ईक्षक,"[('अधि', 'ईक्षक')]",True
हरीश,हरि,ईश,"[('हरि', 'ईश'), ('हरी', 'ईश')]",True
अधीन,अधि,इन,"[('अधि', 'इन')]",True
गिरीश,गिरि,ईश,"[('गिरि', 'ईश'), ('गिरी', 'ईश')]",True
वारीश,वारि,ईश,"[('वारि', 'ईश'), ('वारी', 'ईश')]",True
गणेश,गण,ईश,"[('गण', 'ईश')]",True
सुधीन्द्र,सुधी,इन्द्र,"[('सुधि', 'इन्द्र')]",False
महीन्द्र,मही,इन्द्र,"[('महि', 'इन्द्र'), ('मही', 'इन्द्र')]",True
श्रीश,श्री,ईश,"[('श्री', 'ईश')]",True
सतीश,सती,ईश,"[('सती', 'ईश')]",True
फणीन्द्र,फणी,इन्द्र,"[('फणि', 'इन्द्र'), ('फणी', 'इन्द्र')]",True
रजनीश,रजनी,ईश,"[('रजनी', 'ईश')]",True
नारीश्वर,नारी,ईश्वर,"[('नारी', 'ईश्वर')]",True
देवीच्छा,देवी,इच्छा,"[('देवि', 'इच्छा'), ('देवी', 'इच्छा')]",True
लक्ष्मीच्छा,लक्ष्मी,इच्छा,"[('लक्ष्मी', 'इच्छा')]",True
परमेश्वर,परम,ईश्वर,"[('परम', 'ईश्वर'), ('परमा', 'ईश्वर')]",True
परोपकार,पर,उपकार,"[('पर', 'उपकार'), ('परा', 'उपकार')]",True
नीलोत्पल,नील,उत्पल,[],False
देशोपकार,देश,उपकार,"[('देश', 'उपकार')]",True
सूर्योदय,सूर्य,उदय,"[('सूर्य', 'उदय')]",True
रोगोपचार,रोग,उपचार,"[('रग', 'उपचार')]",False
ज्ञानोदय,ज्ञान,उदय,"[('ज्ञान', 'उदय')]",True
पुरुषोचित,पुरुष,उचित,"[('पुरुष', 'उचित')]",True
दुग्धोपजीवी,दुग्ध,उपजीवी,[],False
अन्त्योदय,अन्त्य,उदय,"[('अन्त्य', 'उदय'), ('अन्त्या', 'उदय')]",True
वेदोक्त,वेद,उक्त,"[('वेद', 'उक्त')]",True
महोदय,महा,उदय,"[('मह', 'उदय'), ('महा', 'उदय')]",True
विद्योन्नति,विद्या,उन्नति,"[('विद्या', 'उन्नति')]",True
महोपदेशक,महा,उपदेशक,"[('मह', 'उपदेशक'), ('महा', 'उपदेशक')]",True
महोपकार,महा,उपकार,"[('मह', 'उपकार'), ('महा', 'उपकार')]",True
दलितोत्थान,दलित,उत्थान,"[('दलित', 'उत्थान')]",True
सर्वोपरि,सर्व,उपरि,[],False
सोद्देश्य,स,उद्देश्य,"[('स', 'उद्देश्य'), ('सा', 'उद्देश्य')]",True
मातृण,मातृ,ऋण,"[('मातृ', 'ऋण')]",True
योगेन्द्र,योग,इन्द्र,"[('योग', 'इन्द्र')]",True
शुभेच्छा,शुभ,इच्छा,"[('शुभेच्छा', 'अ'), ('शुभेच्छा', 'आ'), ('शुभ', 'इच्छा')]",True
मानवेन्द्र,मानव,इन्द्र,"[('मानव', 'इन्द्र')]",True
गजेन्द्र,गज,इन्द्र,"[('गज', 'इन्द्र')]",True
मृगेन्द्र,मृग,इन्द्र,"[('मृग', 'इन्द्र')]",True
जितेन्द्रिय,जित,इन्द्रिय,[],False
पूर्णेन्द्र,पूर्ण,इन्द्र,"[('पूर्ण', 'इन्द्र'), ('पूर्णा', 'इन्द्र')]",True
सुरेन्द्र,सुर,इन्द्र	,"[('सुर', 'इन्द्र'), ('सुरा', 'इन्द्र')]",False
यथेष्ट,यथा,इष्ट,[],False
विवाहेतर,विवाह,इतर,"[('विवाह', 'इतर')]",True
हितेच्छा,हित,इच्छा,"[('हित', 'इच्छा')]",True
साहित्येतर,साहित्य,इतर,"[('साहित्य', 'इतर')]",True
शब्देतर,शब्द,इतर,"[('शब्द', 'इतर')]",True
भारतेन्द्र,भारत,इन्द्र,"[('भारत', 'इन्द्र')]",True
उपदेष्टा,उप,दिष्टा,"[('उपदेष्टा', 'अ'), ('उपदेष्टा', 'आ')]",False
स्वेच्छा,स्व,इच्छा,"[('स्वेच्छा', 'अ'), ('स्वेच्छा', 'आ'), ('स्व', 'इच्छा')]",True
अन्त्येष्टि,अन्त्य,इष्टि,"[('अन्त्य', 'इष्टि'), ('अन्त्या', 'इष्टि')]",True
बालेन्दु,बाल,इन्दु,"[('बाल', 'इन्दु'), ('बाला', 'इन्दु')]",True
राजर्षि,राज,ऋषि,"[('राज', 'ऋषि'), ('राजा', 'ऋषि')]",True
ब्रह्मर्षि,ब्रह्म,ऋषि,"[('ब्रह्म', 'ऋषि'), ('ब्रह्मा', 'ऋषि')]",True
प्रियैषी,प्रिय,एषी,[],False
पुत्रैषणा,पुत्र,एषणा,"[('पुत्र', 'एषणा')]",True
लोकैषणा,लोक,एषणा,"[('लोक', 'एषणा')]",True
देवौदार्य,देव,औदार्य,[],False
परमौषध,परम,औषध,"[('परम', 'औषध'), ('परमा', 'औषध')]",True
स्वैच्छिक,स्व,ऐच्छिक,"[('स्व', 'ऐच्छिक')]",True
महैश्वर्य,महा,ऐश्वर्य,"[('मह', 'ऐश्वर्य'), ('महा', 'ऐश्वर्य')]",True
सोल्लास,स,उल्लास,"[('स', 'उल्लास'), ('सा', 'उल्लास')]",True
धीरोद्धत,धीर,उद्धत,"[('धीर', 'उद्धत')]",True
सर्वोत्तम,सर्व,उत्तम,"[('सर्व', 'उत्तम')]",True
मानवोचित,मानव,उचित,"[('मानव', 'उचित')]",True
रहस्योद्घाटन,रहस्य,उद्घाटन,"[('रहस्य', 'उद्घाटन')]",True
मित्रोचित,मित्र,उचित,"[('मित्र', 'उचित'), ('मित्रा', 'उचित')]",True
नवोदय,नव,उदय,"[('नव', 'उदय')]",True
महोर्मि,महा,ऊर्मि,"[('मह', 'ऊर्मि'), ('महा', 'ऊर्मि')]",True
महोर्जा,महा,ऊर्जा,"[('मह', 'ऊर्जा'), ('महा', 'ऊर्जा')]",True
सूर्योष्मा,सूर्य,उष्मा,"[('सूर्य', 'उष्मा')]",True
महोत्सव,महा,उत्सव,"[('मह', 'उत्सव'), ('महा', 'उत्सव')]",True
नवोढ़ा,नव,ऊढ़ा,"[('नवोढ़ा', 'अ'), ('नवोढ़ा', 'आ')]",False
क्षुधोत्तेजन,क्षुधा,उत्तेजन,"[('क्षुधा', 'उत्तेजन')]",True
नायक,नै,अक,[],False
हवन,हो,अन,[],False
जगन्नाथ,जगत्,नाथ,[],False
जगन्मोहिनी,जगत्,मोहिनी,"[('जगन्मोहिनी', 'इ'), ('जगन्मोहिनी', 'ई')]",False
योगीश्वर,योगी,ईश्वर,"[('योगी', 'ईश्वर')]",True
मनोवांछा,मनः,वांछा,"[('मनः', 'वांछा')]",True
मनोग्राह्य,मनः,ग्राह्य,"[('मनः', 'ग्राह्य')]",True
